machine,from_job,to_job,changeover
drill,product_A,product_B,8
drill,product_A,product_D,3
drill,product_B,product_A,5
drill,product_B,product_D,5
drill,product_D,product_A,3
drill,product_D,product_B,5
mill,product_A,product_C,10
mill,product_A,product_D,5
mill,product_C,product_A,8
mill,product_C,product_D,12
mill,product_D,product_A,5
mill,product_D,product_C,10
lathe,product_B,product_C,8
lathe,product_B,product_D,5
lathe,product_C,product_B,6
lathe,product_C,product_D,10
lathe,product_D,product_B,5
lathe,product_D,product_C,8
grind,product_A,product_C,6
grind,product_C,product_A,4
