machine,from_job,to_job,changeover
drill,product_A,product_B,24
drill,product_A,product_D,9
drill,product_A,product_F,15
drill,product_B,product_A,15
drill,product_B,product_D,15
drill,product_B,product_F,18
drill,product_D,product_A,9
drill,product_D,product_B,15
drill,product_D,product_F,12
drill,product_F,product_A,15
drill,product_F,product_B,18
drill,product_F,product_D,12
mill,product_A,product_C,30
mill,product_A,product_D,15
mill,product_A,product_E,24
mill,product_A,product_F,18
mill,product_C,product_A,24
mill,product_C,product_D,36
mill,product_C,product_E,30
mill,product_C,product_F,24
mill,product_D,product_A,15
mill,product_D,product_C,30
mill,product_D,product_E,21
mill,product_D,product_F,18
mill,product_E,product_A,24
mill,product_E,product_C,30
mill,product_E,product_D,21
mill,product_E,product_F,15
mill,product_F,product_A,18
mill,product_F,product_C,24
mill,product_F,product_D,18
mill,product_F,product_E,15
lathe,product_B,product_C,24
lathe,product_B,product_D,15
lathe,product_B,product_E,18
lathe,product_B,product_F,21
lathe,product_C,product_B,18
lathe,product_C,product_D,30
lathe,product_C,product_E,24
lathe,product_C,product_F,27
lathe,product_D,product_B,15
lathe,product_D,product_C,24
lathe,product_D,product_E,18
lathe,product_D,product_F,21
lathe,product_E,product_B,18
lathe,product_E,product_C,24
lathe,product_E,product_D,18
lathe,product_E,product_F,15
lathe,product_F,product_B,21
lathe,product_F,product_C,27
lathe,product_F,product_D,21
lathe,product_F,product_E,15
grind,product_A,product_C,18
grind,product_A,product_E,15
grind,product_C,product_A,12
grind,product_C,product_E,21
grind,product_E,product_A,15
grind,product_E,product_C,21
