machine,from_job,to_job,changeover
drill,product_A,product_B,8
drill,product_A,product_D,3
drill,product_A,product_E,6
drill,product_A,product_G,5
drill,product_B,product_A,5
drill,product_B,product_D,5
drill,product_B,product_E,7
drill,product_B,product_G,6
drill,product_D,product_A,3
drill,product_D,product_B,5
drill,product_D,product_E,5
drill,product_D,product_G,4
drill,product_E,product_A,6
drill,product_E,product_B,7
drill,product_E,product_D,5
drill,product_E,product_G,4
drill,product_G,product_A,5
drill,product_G,product_B,6
drill,product_G,product_D,4
drill,product_G,product_E,4
mill,product_A,product_B,8
mill,product_A,product_C,10
mill,product_A,product_D,5
mill,product_A,product_E,7
mill,product_A,product_F,6
mill,product_A,product_H,9
mill,product_B,product_A,7
mill,product_B,product_C,10
mill,product_B,product_D,6
mill,product_B,product_E,8
mill,product_B,product_F,7
mill,product_B,product_H,9
mill,product_C,product_A,8
mill,product_C,product_B,10
mill,product_C,product_D,12
mill,product_C,product_E,10
mill,product_C,product_F,9
mill,product_C,product_H,11
mill,product_D,product_A,5
mill,product_D,product_B,6
mill,product_D,product_C,10
mill,product_D,product_E,7
mill,product_D,product_F,6
mill,product_D,product_H,8
mill,product_E,product_A,7
mill,product_E,product_B,8
mill,product_E,product_C,10
mill,product_E,product_D,7
mill,product_E,product_F,6
mill,product_E,product_H,9
mill,product_F,product_A,6
mill,product_F,product_B,7
mill,product_F,product_C,9
mill,product_F,product_D,6
mill,product_F,product_E,6
mill,product_F,product_H,8
mill,product_H,product_A,9
mill,product_H,product_B,9
mill,product_H,product_C,11
mill,product_H,product_D,8
mill,product_H,product_E,9
mill,product_H,product_F,8
lathe,product_B,product_C,8
lathe,product_B,product_D,5
lathe,product_B,product_F,7
lathe,product_B,product_H,8
lathe,product_C,product_B,6
lathe,product_C,product_D,10
lathe,product_C,product_F,9
lathe,product_C,product_H,10
lathe,product_D,product_B,5
lathe,product_D,product_C,8
lathe,product_D,product_F,7
lathe,product_D,product_H,7
lathe,product_F,product_B,7
lathe,product_F,product_C,9
lathe,product_F,product_D,7
lathe,product_F,product_H,8
lathe,product_H,product_B,8
lathe,product_H,product_C,10
lathe,product_H,product_D,7
lathe,product_H,product_F,8
grind,product_A,product_C,6
grind,product_A,product_F,5
grind,product_A,product_G,7
grind,product_A,product_H,6
grind,product_C,product_A,4
grind,product_C,product_F,7
grind,product_C,product_G,8
grind,product_C,product_H,7
grind,product_F,product_A,5
grind,product_F,product_C,7
grind,product_F,product_G,6
grind,product_F,product_H,5
grind,product_G,product_A,7
grind,product_G,product_C,8
grind,product_G,product_F,6
grind,product_G,product_H,6
grind,product_H,product_A,6
grind,product_H,product_C,7
grind,product_H,product_F,5
grind,product_H,product_G,6
press,product_E,product_G,10
press,product_E,product_H,8
press,product_G,product_E,10
press,product_G,product_H,7
press,product_H,product_E,8
press,product_H,product_G,7
