job_id,sequence,machine,duration
product_A,1,drill,20
product_A,2,mill,15
product_A,3,grind,10
product_A,4,inspect,5
product_B,1,lathe,25
product_B,2,drill,12
product_B,3,mill,18
product_B,4,inspect,8
product_C,1,mill,30
product_C,2,lathe,18
product_C,3,grind,12
product_C,4,inspect,6
product_D,1,drill,15
product_D,2,lathe,20
product_D,3,mill,25
product_D,4,inspect,7
product_E,1,press,20
product_E,2,drill,18
product_E,3,mill,22
product_E,4,inspect,10
product_F,1,lathe,30
product_F,2,mill,20
product_F,3,grind,15
product_F,4,inspect,8
product_G,1,drill,22
product_G,2,press,25
product_G,3,grind,18
product_G,4,inspect,6
product_H,1,press,15
product_H,2,lathe,22
product_H,3,mill,18
product_H,4,grind,12
product_H,5,inspect,7
