id,value,days_until_deadline,customer_tier,units
order-0001,12968.82,1,bronze,71
order-0002,5275.39,5,bronze,27
order-0003,13695.64,29,bronze,23
order-0004,12014.6,2,gold,24
order-0005,4763.44,17,bronze,7
order-0006,11444.28,23,bronze,180
order-0007,11126.36,8,silver,151
order-0008,5924.72,28,gold,195
order-0009,16213.48,23,silver,88
order-0010,5918.49,7,silver,27
order-0011,2308.54,4,silver,89
order-0012,12272.66,26,gold,187
order-0013,9458.79,4,silver,21
order-0014,11264.79,27,bronze,159
order-0015,17766.31,12,bronze,50
order-0016,14239.15,2,bronze,59
order-0017,15574.83,3,gold,26
order-0018,7912.46,15,bronze,94
order-0019,3671.75,12,gold,172
order-0020,5706.07,30,bronze,166
order-0021,1892.35,21,gold,137
order-0022,14717.97,6,silver,98
order-0023,5763.98,30,bronze,177
order-0024,11360.52,22,silver,197
order-0025,15632.0,8,gold,81
order-0026,8322.71,3,gold,146
order-0027,17589.17,11,gold,168
order-0028,10235.01,29,bronze,118
order-0029,3286.0,5,gold,191
order-0030,11446.68,9,bronze,150
order-0031,8854.46,19,silver,93
order-0032,4776.75,5,bronze,127
order-0033,2272.73,2,gold,40
order-0034,12735.2,26,bronze,109
order-0035,12129.98,13,silver,153
order-0036,19924.37,17,silver,142
order-0037,17285.2,1,bronze,185
order-0038,2733.76,29,bronze,193
order-0039,5703.09,21,silver,29
order-0040,6223.25,6,silver,1
order-0041,19099.41,29,bronze,68
order-0042,19451.82,25,gold,130
order-0043,18296.24,28,bronze,77
order-0044,16912.55,17,bronze,51
order-0045,3480.37,25,gold,139
order-0046,19093.25,30,bronze,1
order-0047,12179.42,16,gold,29
order-0048,18617.42,29,silver,62
order-0049,1629.54,29,bronze,21
order-0050,2170.24,16,gold,195
