id,value,days_until_deadline,customer_tier,units
order-0001,18589.33,24,silver,177
order-0002,24021.65,24,bronze,136
order-0003,8493.09,15,gold,167
order-0004,8881.51,6,gold,96
order-0005,15974.17,8,silver,140
order-0006,9733.56,8,gold,188
order-0007,11684.41,9,gold,197
order-0008,14620.43,25,gold,36
order-0009,18504.75,15,gold,34
order-0010,8030.17,28,gold,54
order-0011,21151.09,6,gold,75
order-0012,13332.07,7,bronze,174
order-0013,18637.41,6,bronze,51
order-0014,24431.59,29,silver,77
order-0015,8366.69,14,gold,38
order-0016,12484.8,11,silver,155
order-0017,17964.4,20,bronze,182
order-0018,13744.25,10,silver,79
order-0019,16172.67,11,gold,124
order-0020,16033.15,6,gold,66
order-0021,24576.69,1,bronze,92
order-0022,22362.98,1,bronze,108
order-0023,14225.14,19,gold,116
order-0024,8794.36,6,bronze,51
order-0025,10023.35,8,silver,89
order-0026,16712.43,29,bronze,65
order-0027,21185.25,4,bronze,192
order-0028,21276.78,12,silver,10
order-0029,15360.6,3,gold,88
order-0030,16718.96,12,gold,88
order-0031,12686.5,23,bronze,24
order-0032,13311.66,11,silver,46
order-0033,21579.15,21,gold,185
order-0034,19715.97,16,gold,185
order-0035,8825.39,20,bronze,104
order-0036,8541.05,24,bronze,89
order-0037,22047.02,15,bronze,108
order-0038,10475.69,30,bronze,9
order-0039,21628.3,11,gold,34
order-0040,24682.11,19,gold,162
order-0041,23240.43,14,gold,44
order-0042,15387.44,5,gold,108
order-0043,13011.82,15,bronze,44
order-0044,24592.13,15,silver,177
order-0045,20401.59,16,silver,75
order-0046,15991.37,29,gold,29
order-0047,14409.01,18,gold,161
order-0048,23931.46,28,silver,47
order-0049,9515.34,9,bronze,141
order-0050,22745.58,12,gold,199
order-0051,14046.88,19,bronze,9
order-0052,20913.86,12,bronze,181
order-0053,19361.23,27,silver,68
order-0054,21085.71,23,bronze,76
order-0055,24267.05,11,bronze,46
order-0056,17871.23,1,silver,141
order-0057,21153.19,11,bronze,71
order-0058,15869.96,27,bronze,166
order-0059,19451.85,12,silver,71
order-0060,18949.07,24,silver,90
order-0061,23679.66,6,bronze,116
order-0062,24594.08,11,bronze,37
order-0063,16998.78,6,gold,93
order-0064,23935.49,16,silver,178
order-0065,9340.22,22,bronze,107
order-0066,10921.05,25,bronze,133
order-0067,19314.46,14,silver,160
order-0068,17404.53,28,bronze,70
order-0069,20247.05,1,gold,41
order-0070,17969.62,20,bronze,47
order-0071,11723.65,22,gold,162
order-0072,20213.86,16,gold,43
order-0073,8920.43,5,gold,82
order-0074,24455.67,16,gold,141
order-0075,8606.18,15,silver,98
order-0076,19262.91,3,bronze,53
order-0077,12043.39,29,silver,1
order-0078,13958.85,9,silver,30
order-0079,19710.54,18,silver,10
order-0080,17348.86,10,gold,76
order-0081,17268.75,11,bronze,76
order-0082,24291.11,27,gold,108
order-0083,14957.13,19,bronze,138
order-0084,14280.53,5,gold,153
order-0085,14506.69,16,gold,35
order-0086,18346.37,12,bronze,1
order-0087,14491.51,11,bronze,158
order-0088,17170.2,11,bronze,145
order-0089,14389.42,14,gold,127
order-0090,12955.41,23,silver,99
order-0091,24339.36,30,gold,153
order-0092,18097.16,24,silver,128
order-0093,12268.16,1,silver,79
order-0094,16359.83,10,gold,123
order-0095,8404.17,22,bronze,114
order-0096,12173.51,2,gold,101
order-0097,8224.46,18,bronze,71
order-0098,12139.02,16,gold,63
order-0099,16332.02,28,gold,185
order-0100,24810.03,10,silver,156
