id,value,days_until_deadline,customer_tier,units
order-0001,5140.31,18,gold,95
order-0002,18360.92,16,bronze,149
order-0003,1777.81,1,silver,67
order-0004,11240.3,7,bronze,121
order-0005,11048.99,18,silver,102
order-0006,12961.83,5,gold,163
order-0007,3456.64,30,bronze,100
order-0008,14954.41,22,gold,41
order-0009,15285.49,19,gold,78
order-0010,15711.49,27,silver,122
order-0011,12097.62,30,silver,183
order-0012,15868.12,14,silver,187
order-0013,16117.72,15,gold,94
order-0014,2400.36,5,silver,56
order-0015,5530.63,22,silver,200
order-0016,12719.64,10,silver,130
order-0017,16752.8,19,silver,137
order-0018,11908.95,19,gold,87
order-0019,13798.65,30,gold,72
order-0020,19824.3,22,bronze,42
order-0021,14123.01,11,bronze,147
order-0022,11597.6,23,bronze,55
order-0023,12843.03,19,silver,73
order-0024,2926.48,16,bronze,124
order-0025,2226.1,26,gold,106
order-0026,17993.38,1,silver,110
order-0027,15491.44,28,gold,12
order-0028,12297.27,25,gold,97
order-0029,14509.59,11,bronze,72
order-0030,10355.7,2,silver,2
order-0031,2000.93,20,bronze,9
order-0032,19003.46,14,silver,157
order-0033,5635.78,23,gold,87
order-0034,6619.7,5,silver,97
order-0035,9477.99,17,silver,165
order-0036,17403.23,22,bronze,27
order-0037,12592.46,26,bronze,70
order-0038,8908.24,24,bronze,61
order-0039,18760.5,14,silver,134
order-0040,6408.37,11,gold,107
order-0041,19755.39,11,gold,97
order-0042,12508.06,21,gold,16
order-0043,12853.89,11,silver,91
order-0044,13745.99,12,bronze,181
order-0045,5939.03,16,gold,151
order-0046,1681.25,22,gold,95
order-0047,5396.88,15,silver,152
order-0048,12228.37,6,silver,48
order-0049,6597.08,12,bronze,68
order-0050,6357.88,13,gold,198
order-0051,16354.61,19,bronze,189
order-0052,3062.71,17,gold,168
order-0053,16174.25,8,silver,48
order-0054,13722.24,21,bronze,25
order-0055,2485.91,11,silver,173
order-0056,16754.01,15,gold,21
order-0057,7065.85,21,gold,146
order-0058,9296.49,8,gold,9
order-0059,10827.74,7,silver,148
order-0060,4079.93,9,silver,165
order-0061,2167.91,20,silver,151
order-0062,3028.94,10,bronze,70
order-0063,9562.06,21,silver,75
order-0064,8685.54,14,gold,106
order-0065,3541.96,1,silver,160
order-0066,19744.82,14,bronze,184
order-0067,4830.77,24,silver,193
order-0068,13428.25,17,silver,140
order-0069,7150.84,8,gold,151
order-0070,19433.8,4,gold,12
order-0071,1185.32,26,bronze,132
order-0072,18515.17,29,silver,148
order-0073,1462.46,16,bronze,31
order-0074,3850.52,10,gold,170
order-0075,886.98,18,silver,14
order-0076,18811.33,20,gold,88
order-0077,2945.41,28,bronze,123
order-0078,16325.25,2,silver,57
order-0079,4348.01,18,gold,44
order-0080,5169.4,9,gold,2
order-0081,10006.28,19,silver,13
order-0082,15251.53,8,silver,159
order-0083,10781.69,14,gold,122
order-0084,6800.77,27,gold,15
order-0085,15617.29,2,gold,13
order-0086,1834.13,2,bronze,23
order-0087,10550.39,16,silver,41
