id,value,days_until_deadline,customer_tier,units
order-0001,19142.67,28,gold,24
order-0002,2155.0,27,gold,189
order-0003,16274.76,28,silver,65
order-0004,12315.91,20,gold,149
order-0005,13784.3,14,bronze,101
order-0006,16171.55,28,bronze,96
order-0007,11111.45,15,bronze,69
order-0008,18073.55,28,gold,94
order-0009,9565.43,11,silver,109
order-0010,17889.89,17,gold,144
order-0011,3960.01,8,gold,46
order-0012,6840.29,5,bronze,131
order-0013,7513.98,17,bronze,144
order-0014,4045.95,29,silver,107
order-0015,14820.83,30,silver,152
order-0016,7398.85,28,silver,42
order-0017,19121.2,13,bronze,190
order-0018,9497.43,17,gold,126
order-0019,5942.49,16,bronze,132
order-0020,16714.73,12,bronze,117
order-0021,18044.16,15,silver,146
order-0022,14654.76,18,bronze,117
order-0023,9988.87,8,silver,180
order-0024,16783.01,29,bronze,69
order-0025,15573.19,16,silver,78
order-0026,19168.55,23,bronze,144
order-0027,10596.08,21,bronze,151
order-0028,8430.08,24,gold,126
order-0029,10481.89,30,bronze,160
order-0030,17700.36,26,silver,186
order-0031,664.23,27,gold,191
order-0032,2570.06,19,bronze,13
order-0033,5825.44,8,bronze,28
order-0034,15210.21,5,silver,63
order-0035,16582.58,29,gold,109
order-0036,18010.37,25,gold,15
order-0037,7565.96,6,gold,173
order-0038,957.13,4,gold,7
order-0039,1297.05,30,gold,96
order-0040,5485.96,27,gold,189
order-0041,4082.91,23,gold,99
order-0042,11994.44,26,gold,39
order-0043,19430.94,1,silver,158
order-0044,12741.25,24,gold,74
order-0045,7075.67,1,silver,115
order-0046,11254.31,20,bronze,12
order-0047,18089.39,25,silver,160
order-0048,14254.23,16,gold,24
order-0049,13386.16,11,gold,7
order-0050,9232.53,28,gold,133
order-0051,11906.64,13,silver,132
order-0052,6895.24,28,silver,67
order-0053,5605.83,14,bronze,5
order-0054,14139.74,5,bronze,15
order-0055,5432.85,5,gold,44
order-0056,2369.5,21,gold,131
order-0057,18369.76,23,gold,64
order-0058,5033.24,15,gold,65
order-0059,2068.37,8,bronze,160
order-0060,14335.22,9,bronze,109
order-0061,5935.37,25,gold,39
order-0062,1192.24,14,gold,29
order-0063,10485.6,3,gold,27
order-0064,2445.58,6,gold,27
order-0065,4738.4,17,bronze,119
order-0066,9350.23,18,bronze,98
order-0067,4642.77,30,gold,187
order-0068,16218.56,14,bronze,6
order-0069,11830.99,2,silver,135
order-0070,11836.15,30,gold,170
order-0071,16151.78,12,gold,133
order-0072,19233.06,4,bronze,94
order-0073,6146.82,30,silver,79
order-0074,871.57,22,silver,26
order-0075,2547.82,7,bronze,5
order-0076,16335.18,2,silver,164
order-0077,9974.33,7,bronze,158
order-0078,1938.89,10,gold,96
order-0079,6463.52,24,gold,57
order-0080,15222.19,7,gold,147
order-0081,7781.19,23,silver,36
order-0082,15194.82,13,gold,66
order-0083,2874.52,3,bronze,86
order-0084,12999.34,7,bronze,27
order-0085,981.04,22,silver,199
order-0086,1342.02,23,silver,75
order-0087,7472.9,15,gold,96
order-0088,5744.38,17,silver,185
order-0089,19116.59,26,silver,126
order-0090,16802.11,10,silver,60
order-0091,3549.79,20,silver,141
order-0092,8839.25,22,bronze,22
order-0093,11925.06,27,bronze,25
order-0094,1887.62,6,bronze,38
order-0095,16222.94,29,gold,23
order-0096,18271.64,22,bronze,10
order-0097,3006.04,10,silver,60
order-0098,14313.86,29,bronze,85
order-0099,9057.49,17,silver,29
order-0100,3542.35,25,silver,25
