id,value,days_until_deadline,customer_tier,units
order-0001,3120.1,28,gold,66
order-0002,2799.41,25,silver,121
order-0003,13206.06,26,gold,25
order-0004,10013.2,29,silver,111
order-0005,12345.04,25,gold,179
order-0006,9185.05,24,gold,152
order-0007,18932.78,29,silver,8
order-0008,935.28,21,bronze,3
order-0009,18813.41,13,bronze,56
order-0010,19396.29,24,gold,136
order-0011,4822.99,15,silver,142
order-0012,5045.15,8,bronze,57
order-0013,15338.48,10,gold,107
order-0014,16832.77,18,bronze,26
order-0015,4125.17,24,silver,31
order-0016,14991.36,29,bronze,183
order-0017,10265.59,14,bronze,172
order-0018,4202.07,10,bronze,128
order-0019,17000.85,17,silver,151
order-0020,17139.12,16,gold,191
