id,value,days_until_deadline,customer_tier,units
order-0001,5102.94,1,bronze,102
order-0002,9838.13,1,gold,6
order-0003,8331.02,3,gold,57
order-0004,10646.62,3,silver,200
order-0005,3866.96,1,silver,55
order-0006,18887.71,1,bronze,67
order-0007,16108.73,2,gold,80
order-0008,6147.99,7,bronze,96
order-0009,2191.01,5,silver,172
order-0010,8064.67,2,gold,64
order-0011,9734.96,1,bronze,77
order-0012,640.62,3,bronze,181
order-0013,17705.19,7,bronze,50
order-0014,8571.95,5,silver,111
order-0015,9301.76,2,silver,67
order-0016,16345.55,1,gold,12
order-0017,9522.06,3,bronze,137
order-0018,13135.96,6,silver,38
order-0019,19946.94,2,gold,106
order-0020,18313.87,6,bronze,113
order-0021,5887.94,3,silver,192
order-0022,11980.99,6,bronze,51
order-0023,18134.14,1,gold,182
order-0024,4962.95,7,bronze,158
order-0025,17310.93,1,silver,46
order-0026,6173.02,1,gold,92
order-0027,14097.19,3,bronze,173
order-0028,19217.42,1,silver,74
order-0029,6772.68,2,bronze,106
order-0030,17296.78,7,bronze,175
order-0031,16449.59,3,bronze,50
order-0032,17934.63,3,gold,65
order-0033,7941.88,2,silver,147
order-0034,683.23,1,silver,44
order-0035,7621.22,7,silver,75
order-0036,11643.39,4,gold,109
order-0037,18372.33,1,gold,16
order-0038,1577.78,2,bronze,174
order-0039,19427.07,5,gold,140
order-0040,10068.02,2,silver,10
order-0041,2884.33,5,silver,199
order-0042,19939.66,6,gold,123
order-0043,4434.57,4,silver,126
order-0044,1218.95,4,silver,64
order-0045,13125.0,4,gold,128
order-0046,4160.35,1,silver,65
order-0047,5226.59,2,gold,107
order-0048,17459.34,2,silver,14
order-0049,17875.0,3,bronze,30
order-0050,19816.13,4,bronze,168
order-0051,17482.51,6,bronze,11
order-0052,10138.62,1,silver,54
order-0053,18633.59,5,gold,87
order-0054,6275.99,4,bronze,81
order-0055,16389.11,5,gold,168
order-0056,16127.25,7,silver,87
order-0057,18494.6,4,gold,72
order-0058,19254.59,6,gold,12
order-0059,8198.6,5,gold,197
order-0060,19386.43,6,gold,43
order-0061,13913.13,4,bronze,121
order-0062,15056.64,4,gold,1
order-0063,4618.31,2,gold,157
order-0064,17590.26,1,silver,198
order-0065,15767.91,2,bronze,14
order-0066,17634.8,2,gold,172
order-0067,12361.42,7,bronze,199
order-0068,15794.58,5,silver,7
order-0069,2040.29,6,bronze,29
order-0070,10032.21,7,silver,156
order-0071,15595.2,1,silver,21
order-0072,15467.8,5,gold,77
order-0073,16834.93,7,gold,22
order-0074,19217.43,4,silver,53
order-0075,15854.06,3,silver,60
order-0076,15294.88,7,silver,25
order-0077,2005.29,5,silver,132
order-0078,19991.92,4,bronze,199
order-0079,9162.67,6,gold,164
order-0080,6394.96,7,silver,109
order-0081,2804.36,5,gold,96
order-0082,17548.6,2,bronze,39
order-0083,6867.82,7,silver,67
order-0084,11066.33,1,bronze,44
order-0085,608.46,3,gold,140
order-0086,2661.35,7,bronze,154
order-0087,9942.86,1,bronze,63
order-0088,8517.95,3,silver,59
order-0089,15450.06,7,bronze,1
order-0090,13696.3,5,silver,140
order-0091,18299.42,4,bronze,79
order-0092,18766.37,5,silver,157
order-0093,12540.46,4,gold,65
order-0094,15535.32,3,bronze,88
order-0095,3098.47,1,bronze,37
order-0096,13670.06,5,gold,74
order-0097,18087.31,3,gold,148
order-0098,15980.95,6,bronze,24
order-0099,2002.7,6,gold,85
order-0100,13257.93,3,gold,77
